"Questions","Answers "
"How does the immune system fight off infections?","There are two main parts of the immune system. Innate immunityis the immune system that you inherit and it’s active as soon as you’re born. It mainly consists of physical barriers on and in the body—think skin and the lining of the gastrointestinal tract."
"What are the effects of climate change on wildlife?","Our planet is warming faster than at any time in the past 10,000 years. With these changes, species have to adapt to new climate patterns (variations in rainfall; longer, warmer summers etc). Global warming resulting from human emissions of greenhouse gases. The consequences include habitat loss; shifts in climatic conditions and in habitats"
"What is the process of cell division?","Cell division is the process cells go through to divide. There are several types of cell division, depending upon what type of organism is dividing. Organisms have evolved over time to have different and more complex forms of cell division. Most prokaryotes, or bacteria, use binary fission to divide the cell."
"How does the internet of things (IoT) work?","The Internet of Things (IoT) is the concept of connecting any device with an on/off switch to the internet and to other connected devices1. IoT devices usually have sensors or actuators that collect data from their surroundings23. The data is then sent to the cloud or a data center, where it is analyzed and transmitted to users or other devices423. IoT devices can be controlled or configured via an app or a website45."
"What are the benefits of eating a balanced diet?","Following a healthy diet has many benefits, including building strong bones, protecting the heart, preventing disease, and boosting mood."
"What is the difference between a virus and a bacterium?","Above all, the major difference between bacteria and viruses is that the bacteria are living organisms while the viruses are non-living particles. We can also see a difference between bacteria and viruses in their size. Bacteria are usually 0.2 to 2 micrometres in size while viruses are 10-100 times smaller than bacteria."
"How does the human circulatory system function?","Your circulatory system relies on the coordinated function of blood vessels, including arteries, veins, and capillaries, working in conjunction with your heart and lungs to ensure the continuous circulation of blood throughout your body. The process begins with the right ventricle of the heart pumping oxygen-poor blood into the lungs through the pulmonary trunk. Within the lungs, blood cells acquire oxygen, becoming oxygenated. The oxygenated blood then travels back to the heart through the pulmonary veins, entering the left atrium and subsequently passing into the left ventricle. From there, the left ventricle propels the oxygenated blood out to the body through a network of arteries. As the blood traverses your body and organs, it transports and delivers essential nutrients, hormones, and removes waste products. Deoxygenated blood, along with carbon dioxide, is collected by veins and returned to the heart, which then pumps it back to the lungs. In the lungs, carbon dioxide is expelled as you exhale, completing the circulation process. This continuous cycle ensures the delivery of oxygen and nutrients while facilitating the removal of waste products throughout your body."
"What are the major causes of water pollution?","Causes of water pollution include - industrial waste, household waste, waste water, nuclear waste, oil pollution, animal dung, pesticides, etc. "
"How does the human reproductive system work?","In the human reproductive process, two kinds of sex cells, or gametes, are involved. The male gamete, or sperm, and the female gamete, the egg or ovum, meet in the female's reproductive system to create a baby. Both the male and female reproductive systems are essential for reproduction."
"What are the effects of global warming on the polar ice caps?","Ice is melting at the poles. Impacts will be global. Ice shelves are massive, floating platforms of ice that surround the ice-covered continents of Antarctica and Greenland. When they melt, sea level isn't directly affected because this ice is already in the ocean."
"How do solar panels convert sunlight into electricity?","Simply put, a solar panel works by allowing photons, or particles of light, to knock electrons free from atoms, generating a flow of electricity, according to the University of Minnesota Duluth. Solar panels actually comprise many, smaller units called photovoltaic cells — this means they convert sunlight into electricity. Many cells linked together make up a solar panel."
"What is the impact of social media on society?","Social media has both positive and negative impacts on society1. Some of the positive outcomes include socialization and communication, enhanced learning opportunities, and accessing health-related information12. On the other hand, some of the negative impacts include depression, anxiety, catfishing, bullying, terrorism, and criminal activities1. Social media has changed the way we socialize, conduct our businesses, engage in political affairs, build professions, and set job recruitments3. Social media has also created a decentralized communication channel and opened the door for all to have a voice and participate2"
"What are the benefits of practicing mindfulness?","Reduced depression is one of the important benefits of mindfulness. It can help relieve symptoms of depression and may help prevent these symptoms from returning in the future. Mindfulness-based cognitive therapy (MBCT) is a type of therapy that incorporates cognitive-behavioral therapy (CBT)"
"How does the human skeletal system support the body?","The skeletal system is made up of your bones and creates the support structure for the rest of your tissue and organs12. It gives your body shape, supports your muscles, provides movement, and protects your internal organs12. It also stores minerals and fat, and produces blood cells123. The skeletal system works with tendons, joints, ligaments, and muscles to produce various movements3."
"How does the process of fermentation work?","Fermentation is a natural process through which microorganisms like yeast and bacteria convert carbs into alcohol or acids123. The alcohol or acids act as a natural preservative and give fermented foods a distinct zest and tartness. Fermentation also promotes the growth of beneficial bacteria, known as probiotics1. In fermentation, the only energy extraction pathway is glycolysis, with one or two extra reactions tacked on at the end4"
"What are the causes and effects of deforestation?","Deforestation can include clearing the land for farming or livestock, or using the timber for fuel, construction or manufacturing. Experts estimate that a chunk of forest the size of a soccer field is lost every second to deforestation. "
"How do vaccines work to prevent diseases?","Vaccines can help protect against certain diseases by imitating an infection. This type of imitation infection, helps teach the immune system how to fight off a future infection. Sometimes, after getting a vaccine, the imitation infection can cause minor symptoms, such as fever. "
"How does the human excretory system remove waste from the body?","The excretory system plays a crucial role in eliminating waste from the body through a series of steps. The first step is filtration, where blood enters the nephrons, which are specialized structures in the kidneys responsible for filtering out impurities. During filtration, waste products and excess substances are separated from the blood. The next step is reabsorption, where the remaining blood, free from impurities, is reabsorbed through capillary walls, ensuring essential nutrients and substances are retained in the bloodstream. Simultaneously, the impurities, along with excess water, move through tubules. Lastly, the process of excretion takes place. The urine, consisting of the filtered waste products, travels from the kidneys through the ureters and collects in the urinary bladder, where it is stored until it is released from the body through the urethra. The urinary tract, including the kidneys and associated structures, forms a vital component of the excretory system. The kidneys utilize nephrons to filter waste materials and produce urine, which serves as the means for eliminating urea, salts, and excess water from the body. Through these intricate processes, the excretory system helps maintain the body's internal balance by removing waste products and regulating fluid levels."
"What are the effects of air pollution on human health?","On an individual level, air pollution causes the following effects on human health. Cardiovascular disease; One of the emerging risk factors for stroke is air pollution. This is especially true in developing countries like India, where air pollution is rampant. Lung Diseases"
